ventas(miles €),ESPAÑA,CATALUÑA,ARAGÓN,ILLES BALEARS,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,ANDALUCÍA,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,EXTREMADURA,CASTILLA Y LEÓN,GALICIA,PRINCIPADO DE ASTURIAS,CANTABRIA,PAIS VASCO,LA RIOJA,C. FORAL DE NAVARRA,CANARIAS
O.SALAZONES AL COR,52843.989,6291.3799,1777.2930600000002,1245.06394,5925.577200000001,1269.1496100000004,7833.7566,7863.354200000001,5285.708500000001,1366.7832099999998,4985.28,3238.8042,962.713396,718.40037,1572.68179,348.72678599999995,958.31613,1200.99809
O.SALAZONES ENVASA,55285.91100000001,10731.8311,1975.7069400000005,1510.60353,6405.7902,976.59329,6243.2504,7102.157399999999,2966.1105,1551.0363000000002,2933.6723,4936.3568,1800.2502199999997,813.1319699999999,2942.9767,380.3026,643.9422900000001,1372.19601
TOCINO Y MANTECA,130256.429,27103.383999999995,3357.7449,6431.100999999999,17890.907999999996,4932.5028,21979.573,19053.433,4370.468400000001,3458.273,4068.1631000000007,4168.8521,2261.1839000000004,892.25144,3874.5238,386.9913800000001,1265.888,4761.1901
TOCINO,12786.077,1791.4282899999998,295.58575,184.641719,686.8359820000002,673.01495,3394.8504000000003,1830.86,399.14876,187.942694,282.950273,1580.4162599999995,802.5140399999999,16.205631,467.342293,34.356184,75.862679,82.120778
CHORIZOS,415628.935,52997.6007,10441.65227,5979.51051,28092.132500000003,8533.8576,63212.4612,58899.19390000001,20670.72574,7760.85014,33104.185099999995,37196.011,16680.92914,7635.93192,40173.84049999999,3683.897621,5633.062517,14933.09087
CHOR.IBERICO,68107.595,12769.5837,1248.32107,1298.93791,4351.8285,1216.3292,10771.0282,13328.7709,3349.26274,2020.87824,4443.786099999999,2993.3880000000004,1452.5732400000002,1032.46702,5651.9045,162.288221,371.862817,1644.3798699999998
CHOR.NORMAL,347521.34,40228.017,9193.3312,4680.5726,23740.304000000004,7317.528399999999,52441.43299999999,45570.423,17321.463000000003,5739.9719,28660.399000000005,34202.623,15228.3559,6603.464900000001,34521.936,3521.6094,5261.199700000001,13288.711
CHORIZO DE PAVO,11851.3689,2115.1539,446.892053,255.943949,1093.23083,298.80874800000004,3481.2275,947.6809000000002,454.02529,78.175339,422.86935,471.4184299999999,139.97273399999995,45.804472,626.1582799999999,33.851162,417.420764,522.7345200000001
CHORIZO DE CERDO,399834.37,50648.12500000001,9980.6684,5719.3697,26604.709000000003,8223.4388,59319.50200000001,57454.595,20052.744,7620.422,32284.457,36542.337,15996.7079,7481.748100000001,39404.774,3432.7272000000003,5013.4034,14054.6688
SALCHICHON/SALAMI,189356.84,19107.501000000004,4428.1312,3681.45,18497.358,7840.7893,51888.947,21043.340000000004,9993.919499999998,5292.9116,11453.8222,8311.1242,3187.3019,1405.27378,7852.0177,1632.85132,1652.92255,12087.1864
SALCHICHON DE PAVO,12014.1017,1543.03426,227.80121000000003,277.6569,1240.39312,355.732053,4880.939899999999,744.2823,403.540906,115.802065,308.33262,449.72603,87.05851899999998,56.922768,377.843537,57.803964,266.62497800000006,620.6054999999999
SALCHICHON DE CERD,175779.7,17394.162,4198.7615,3398.4367999999995,17114.319000000003,7412.820299999999,46587.162,20174.096,9570.331,5166.5281,11077.3626,7829.476099999999,3045.0889,1348.3510399999998,7443.549000000001,1376.01446,1386.29741,11256.9434
FUET/LONGANIZAS,319396.43,95132.111,12431.045999999998,7884.3084,40580.154,12898.3332,41862.10399999999,36211.464,16775.392,4736.5689,13288.5894,10965.3261,4215.3595000000005,2304.147,9683.5855,1402.4635799999996,3109.442,5916.0348
FUET/LONGANIZ.PAVO,18449.208,5723.5079,1031.31417,539.3677200000001,1668.53168,395.30402,3054.8297,1389.09786,1280.23778,402.953712,1029.5513,260.588892,69.114131,39.584735,592.08376,82.290645,330.764992,560.0840800000001
FUET/LONGANIZ.CERD,295412.34,88674.78600000001,11239.7865,6997.078799999999,38449.722,12352.9105,37441.336,34210.502,14929.7798,4251.7559,11967.1324,10534.5979,4080.0248000000006,2226.1079,9004.511000000002,1304.69501,2615.86902,5131.752000000001
OTROS PROD.CURADOS,170794.697,30389.835400000004,4714.69111,2709.579279999999,13579.5398,4774.9758,22485.1133,24482.8685,8594.0638,3427.88994,14290.462799999998,10574.0588,7070.5524,1831.7674200000004,9572.1058,1470.2493929999998,2536.399563000001,8290.53561
O.PROD.CURAD.CORTE,64456.347,10240.665400000002,1718.8294099999998,1160.0267399999998,5358.6635,2264.74929,7466.5832,7116.9235,3167.5942,1317.34268,6384.443499999999,4336.7408,4378.0079000000005,737.6558699999999,3351.9966000000004,767.46139,969.411723,3719.247100000001
O.PROD.CURAD.ENVAS,106338.35,20149.17,2995.8617,1549.55254,8220.8763,2510.22651,15018.5301,17365.945000000003,5426.469599999999,2110.54726,7906.0193,6237.318000000001,2692.5445,1094.11155,6220.1092,702.788003,1566.98784,4571.288509999999
SALCHICHAS,238860.19,37902.442,7052.9545,5294.018300000001,14572.1474,6315.3837,50892.14400000001,36940.74999999999,9775.685399999998,6401.9832000000015,10922.2924,13850.707099999998,4836.912,3567.3162,11966.6744,1183.1496100000002,3082.7492999999995,14302.896
JAMON COCIDO,498716.44,96933.75,12106.4498,15250.327,45318.943,15432.0624,81459.31999999999,66897.611,19076.876000000004,6925.108800000001,23438.247,23945.63700000001,15266.0192,4525.033099999999,24246.042,3465.0443,6111.802500000001,38318.186
JAMON COC.SIN SAL,27473.284000000003,5211.6482000000005,921.38143,1069.89002,1587.4489999999998,885.9258100000001,3297.6713,3677.579399999999,614.60356,355.737411,2972.439,2281.3097,909.30957,218.237933,1096.1096599999998,139.474478,153.669275,2080.8468000000003
PALETA COCIDA,13722.5875,3736.6428,407.964646,80.43304,755.93836,375.0847710000001,2208.29309,1047.77988,356.85591100000005,161.71528700000002,705.6326,267.82655299999993,258.0439,31.29631,799.19179,12.078809,48.972056,2468.8363100000006
FIAMBRES,825084.9700000001,131677.829,18783.238,17994.037000000004,79238.389,26799.444,163135.81999999998,123952.118,35314.198,21986.756,38973.77,38133.104,17182.739999999998,7929.049499999999,41052.285,3889.5372,10283.6526,48759.02700000001
PAVO,467280.0800000001,63347.52099999999,11661.7915,12196.9606,45625.60800000001,14864.304000000002,92887.557,69727.897,17776.348,13090.4659,22488.156,23771.624000000003,11634.238400000002,4982.7938,26932.084,2388.6105000000007,6609.193,27294.953
POLLO,41154.391,5490.962,836.47523,926.28483,4427.2968,762.4624600000001,11317.457200000004,6580.137099999999,1214.0279199999998,1057.20823,1301.5767100000005,1568.84923,519.1090999999999,397.9056900000001,1749.35907,245.953284,535.81681,2223.508
PROD.A BASE SANGRE,16832.0006,1437.11225,418.35065,368.350476,998.04547,124.40375,1602.5300800000002,3643.1059,644.95658,191.128261,1180.3952399999998,320.55133199999995,257.106341,1209.95223,3072.3652,241.365284,754.115,368.16523
MORCILLA,15682.047299999998,1417.52972,411.0250400000001,225.974356,868.8243000000001,82.573699,1240.23366,3526.2896000000005,629.3195099999999,151.772834,1075.35847,299.94285399999995,250.688111,1209.95223,2963.6426,236.980717,749.27463,342.66391000000004
